"","campo","code","name","percent"
"1","Pedagogía","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",47.8
"2","Pedagogía","23","Otros profesionales de la enseñanza",15.67
"3","Pedagogía","28","Profesionales en ciencias sociales",5.41
"4","Pedagogía","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",3.6
"5","Pedagogía","57","Otros trabajadores de los cuidados a las personas",3.19
"6","Pedagogía","21","Profesionales de la salud",2.81
"7","Pedagogía","26","Especialistas en organización de la administración pública y de las empresas y en la
comercialización",2.27
"8","Pedagogía","52","Dependientes en tiendas y almacenes",2.12
"9","Pedagogía","43","Otros empleados administrativos sin tareas de atención al público",1.93
"10","Pedagogía","12","Directores de departamentos administrativos y comerciales",1.91
"11","Pedagogía","35","Representantes, agentes comerciales y afines",1.62
"12","Pedagogía","56","Trabajadores de los cuidados a las personas en servicios de salud",1.47
"13","Pedagogía","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",1.13
"14","Pedagogía","45","Empleados administrativos con tareas de atención al público no clasificados bajo otros
epígrafes",1.02
"15","Pedagogía","36","Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de
seguridad",0.84
"16","Pedagogía","51","Trabajadores asalariados de los servicios de restauración",0.74
"17","Pedagogía","92","Otro personal de limpieza",0.72
"18","Pedagogía","41","Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al
transporte",0.61
"19","Pedagogía","98","Peones del transporte, descargadores y reponedores",0.59
"20","Pedagogía","59","Trabajadores de los servicios de protección y seguridad",0.51
"21","Pedagogía","97","Peones de las industrias manufactureras",0.49
"22","Pedagogía","11","Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la administración
pública y organizaciones de interés social; directores ejecutivos",0.45
"23","Pedagogía","38","Técnicos de las tecnologías de la información y las comunicaciones (tic)",0.45
"24","Pedagogía","13","Directores de producción y operaciones",0.36
"25","Pedagogía","27","Profesionales de las tecnologías de la información",0.36
"26","Pedagogía","33","Técnicos sanitarios y profesionales de las terapias alternativas",0.36
"27","Pedagogía","84","Conductores de vehículos para el transporte urbano o por carretera",0.33
"28","Pedagogía","94","Recogedores de residuos urbanos, vendedores callejeros y otras ocupaciones elementales en
servicios",0.33
"29","Pedagogía","99",NA,0.3
"30","Pedagogía","75","Trabajadores especializados en electricidad y electrotecnología",0.17
"31","Pedagogía","24","Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",0.14
"32","Pedagogía","25","Profesionales en derecho",0.14
"33","Pedagogía","29","Profesionales de la cultura y el espectáculo",0.14
"34","Educación infantil","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",67.76
"35","Educación infantil","23","Otros profesionales de la enseñanza",6.75
"36","Educación infantil","57","Otros trabajadores de los cuidados a las personas",3.9
"37","Educación infantil","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",2.87
"38","Educación infantil","52","Dependientes en tiendas y almacenes",2.54
"39","Educación infantil","21","Profesionales de la salud",1.89
"40","Educación infantil","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",1.41
"41","Educación infantil","43","Otros empleados administrativos sin tareas de atención al público",1.32
"42","Educación infantil","51","Trabajadores asalariados de los servicios de restauración",1.15
"43","Educación infantil","13","Directores de producción y operaciones",1
"44","Educación infantil","28","Profesionales en ciencias sociales",1
"45","Educación infantil","35","Representantes, agentes comerciales y afines",0.89
"46","Educación infantil","55","Cajeros y taquilleros (excepto bancos)",0.88
"47","Educación infantil","26","Especialistas en organización de la administración pública y de las empresas y en la
comercialización",0.87
"48","Educación infantil","41","Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al
transporte",0.83
"49","Educación infantil","45","Empleados administrativos con tareas de atención al público no clasificados bajo otros
epígrafes",0.63
"50","Educación infantil","58","Trabajadores de los servicios personales",0.63
"51","Educación infantil","56","Trabajadores de los cuidados a las personas en servicios de salud",0.46
"52","Educación infantil","25","Profesionales en derecho",0.32
"53","Educación infantil","94","Recogedores de residuos urbanos, vendedores callejeros y otras ocupaciones elementales en
servicios",0.3
"54","Educación infantil","59","Trabajadores de los servicios de protección y seguridad",0.29
"55","Educación infantil","24","Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",0.26
"56","Educación infantil","29","Profesionales de la cultura y el espectáculo",0.26
"57","Educación infantil","77","Trabajadores de la industria de la alimentación, bebidas y tabaco",0.26
"58","Educación infantil","99",NA,0.25
"59","Educación infantil","38","Técnicos de las tecnologías de la información y las comunicaciones (tic)",0.24
"60","Educación infantil","33","Técnicos sanitarios y profesionales de las terapias alternativas",0.21
"61","Educación infantil","74","Mecánicos y ajustadores de maquinaria",0.18
"62","Educación infantil","42","Empleados de bibliotecas, servicios de correos y afines",0.17
"63","Educación infantil","93","Ayudantes de preparación de alimentos",0.16
"64","Educación infantil","12","Directores de departamentos administrativos y comerciales",0.12
"65","Educación infantil","83","Maquinistas de locomotoras, operadores de maquinaria agrícola y de equipos pesados
móviles, y marineros",0.1
"66","Educación infantil","53","Comerciantes propietarios de tiendas",0.08
"67","Educación infantil","34","Profesionales de apoyo en finanzas y matemáticas",0.04
"68","Educación primaria","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",74.91
"69","Educación primaria","23","Otros profesionales de la enseñanza",6.86
"70","Educación primaria","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",3.33
"71","Educación primaria","52","Dependientes en tiendas y almacenes",1.6
"72","Educación primaria","21","Profesionales de la salud",1.56
"73","Educación primaria","28","Profesionales en ciencias sociales",0.98
"74","Educación primaria","59","Trabajadores de los servicios de protección y seguridad",0.82
"75","Educación primaria","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",0.77
"76","Educación primaria","51","Trabajadores asalariados de los servicios de restauración",0.67
"77","Educación primaria","29","Profesionales de la cultura y el espectáculo",0.62
"78","Educación primaria","26","Especialistas en organización de la administración pública y de las empresas y en la
comercialización",0.6
"79","Educación primaria","13","Directores de producción y operaciones",0.59
"80","Educación primaria","43","Otros empleados administrativos sin tareas de atención al público",0.56
"81","Educación primaria","35","Representantes, agentes comerciales y afines",0.51
"82","Educación primaria","55","Cajeros y taquilleros (excepto bancos)",0.45
"83","Educación primaria","98","Peones del transporte, descargadores y reponedores",0.4
"84","Educación primaria","11","Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la administración
pública y organizaciones de interés social; directores ejecutivos",0.39
"85","Educación primaria","97","Peones de las industrias manufactureras",0.38
"86","Educación primaria","27","Profesionales de las tecnologías de la información",0.35
"87","Educación primaria","56","Trabajadores de los cuidados a las personas en servicios de salud",0.35
"88","Educación primaria","57","Otros trabajadores de los cuidados a las personas",0.33
"89","Educación primaria","41","Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al
transporte",0.31
"90","Educación primaria","12","Directores de departamentos administrativos y comerciales",0.26
"91","Educación primaria","31","Técnicos de las ciencias y de las ingenierías",0.22
"92","Educación primaria","92","Otro personal de limpieza",0.22
